Cidade,Tipo de Cliente,Gênero,Linha de Produto,Preço Unitário,Quantidade,Imposto 5%,Total,Hora,Pagamento,Custo de Bens Vendidos,Percentual de Margem Bruta,Receita Bruta,Avaliação,Mês,Dia,Turno,Estação
Yangon,Recorrente,Masculino,Saúde e Beleza,15.87,10,7.935,166.635,16:40,Dinheiro,158.7,4.761904762,7.935,5.8,3,13,tarde,Primavera
Naypyitaw,Ocasional,Feminino,Saúde e Beleza,33.47,2,3.347,70.287,15:43,Carteira Eletrônica,66.94,4.761904762,3.347,6.7,2,10,tarde,Inverno
Mandalay,Recorrente,Feminino,Acessórios de Moda,97.61,6,29.283,614.943,15:01,Carteira Eletrônica,585.66,4.761904762,29.283,9.9,1,7,tarde,Inverno
Yangon,Ocasional,Masculino,Viagens e Esportes,78.77,10,39.385,827.085,10:04,Dinheiro,787.7,4.761904762,39.385,6.4,1,24,manhã,Inverno
Yangon,Recorrente,Feminino,Saúde e Beleza,18.33,1,0.9165,19.2465,18:50,Dinheiro,18.33,4.761904762,0.9165,4.3,2,2,noite,Inverno
Naypyitaw,Ocasional,Masculino,Comidas e Bebidas,89.48,10,44.74,939.54,12:46,Crédito,894.8,4.761904762,44.74,9.6,1,6,tarde,Inverno
Naypyitaw,Ocasional,Masculino,Acessórios de Moda,62.12,10,31.06,652.26,16:19,Dinheiro,621.2,4.761904762,31.06,5.9,2,11,tarde,Inverno
Mandalay,Recorrente,Feminino,Comidas e Bebidas,48.52,3,7.278,152.838,18:17,Carteira Eletrônica,145.56,4.761904762,7.278,4.0,3,5,noite,Primavera
Naypyitaw,Ocasional,Feminino,Acessórios Eletrônicos,75.91,6,22.773,478.233,18:21,Dinheiro,455.46,4.761904762,22.773,8.7,3,9,noite,Primavera
Yangon,Ocasional,Masculino,Casa e Estilo de Vida,74.67,9,33.6015,705.6315,10:55,Carteira Eletrônica,672.03,4.761904762,33.6015,9.4,1,22,manhã,Inverno
Naypyitaw,Ocasional,Feminino,Acessórios Eletrônicos,41.65,10,20.825,437.325,17:04,Crédito,416.5,4.761904762,20.825,5.4,1,13,tarde,Inverno
Naypyitaw,Recorrente,Masculino,Acessórios de Moda,49.04,9,22.068,463.428,14:20,Crédito,441.36,4.761904762,22.068,8.6,1,9,tarde,Inverno
Yangon,Recorrente,Feminino,Acessórios de Moda,20.01,9,9.0045,189.0945,15:48,Crédito,180.09,4.761904762,9.0045,5.7,1,12,tarde,Inverno
Naypyitaw,Recorrente,Feminino,Comidas e Bebidas,78.31,10,39.155,822.255,16:24,Carteira Eletrônica,783.1,4.761904762,39.155,6.6,3,5,tarde,Primavera
Naypyitaw,Ocasional,Feminino,Saúde e Beleza,20.38,5,5.095,106.995,18:56,Dinheiro,101.9,4.761904762,5.095,6.0,1,22,noite,Inverno
Naypyitaw,Ocasional,Feminino,Saúde e Beleza,99.19,6,29.757,624.897,14:42,Crédito,595.14,4.761904762,29.757,5.5,1,21,tarde,Inverno
Mandalay,Ocasional,Feminino,Comidas e Bebidas,96.68,3,14.502,304.542,19:56,Carteira Eletrônica,290.04,4.761904762,14.502,6.4,1,26,noite,Inverno
Naypyitaw,Ocasional,Masculino,Comidas e Bebidas,19.25,8,7.7,161.7,18:37,Carteira Eletrônica,154.0,4.761904762,7.7,6.6,1,23,noite,Inverno
Naypyitaw,Recorrente,Feminino,Comidas e Bebidas,80.36,4,16.072,337.512,18:45,Crédito,321.44,4.761904762,16.072,8.3,2,23,noite,Inverno
Naypyitaw,Recorrente,Masculino,Viagens e Esportes,48.91,5,12.2275,256.7775,10:17,Dinheiro,244.55,4.761904762,12.2275,6.6,3,9,manhã,Primavera
Naypyitaw,Ocasional,Feminino,Viagens e Esportes,83.06,7,29.071,610.491,14:31,Carteira Eletrônica,581.42,4.761904762,29.071,4.0,3,5,tarde,Primavera
Naypyitaw,Ocasional,Masculino,Acessórios de Moda,76.52,5,19.13,401.73,10:23,Dinheiro,382.6,4.761904762,19.13,9.9,3,25,manhã,Primavera
Yangon,Recorrente,Masculino,Comidas e Bebidas,49.38,7,17.283,362.943,20:35,Crédito,345.66,4.761904762,17.283,7.3,3,27,noite,Primavera
Yangon,Ocasional,Masculino,Viagens e Esportes,42.47,1,2.1235,44.5935,16:57,Dinheiro,42.47,4.761904762,2.1235,5.7,1,2,tarde,Inverno
Mandalay,Ocasional,Feminino,Saúde e Beleza,76.99,6,23.097,485.037,17:55,Dinheiro,461.94,4.761904762,23.097,6.1,2,27,tarde,Inverno
Naypyitaw,Recorrente,Feminino,Casa e Estilo de Vida,47.38,4,9.476,198.996,10:25,Dinheiro,189.52,4.761904762,9.476,7.1,1,23,manhã,Inverno
Naypyitaw,Ocasional,Feminino,Viagens e Esportes,44.86,10,22.43,471.03,19:54,Carteira Eletrônica,448.6,4.761904762,22.43,8.2,1,26,noite,Inverno
Yangon,Recorrente,Feminino,Viagens e Esportes,21.98,7,7.693,161.553,16:42,Carteira Eletrônica,153.86,4.761904762,7.693,5.1,1,10,tarde,Inverno
Mandalay,Recorrente,Masculino,Saúde e Beleza,64.36,9,28.962,608.202,12:09,Crédito,579.24,4.761904762,28.962,8.6,3,12,tarde,Primavera
Naypyitaw,Ocasional,Masculino,Saúde e Beleza,89.75,1,4.4875,94.2375,20:05,Crédito,89.75,4.761904762,4.4875,6.6,2,6,noite,Inverno
Yangon,Ocasional,Masculino,Acessórios Eletrônicos,97.16,1,4.858,102.018,20:38,Carteira Eletrônica,97.16,4.761904762,4.858,7.2,3,8,noite,Primavera
Mandalay,Ocasional,Masculino,Saúde e Beleza,87.87,10,43.935,922.635,10:25,Carteira Eletrônica,878.7,4.761904762,43.935,5.1,3,29,manhã,Primavera
Naypyitaw,Ocasional,Feminino,Acessórios Eletrônicos,12.45,6,3.735,78.435,13:11,Dinheiro,74.7,4.761904762,3.735,4.1,2,9,tarde,Inverno
Yangon,Ocasional,Masculino,Comidas e Bebidas,52.75,3,7.9125,166.1625,10:16,Carteira Eletrônica,158.25,4.761904762,7.9125,9.3,3,23,manhã,Primavera
Mandalay,Ocasional,Masculino,Casa e Estilo de Vida,82.7,6,24.81,521.01,18:14,Dinheiro,496.2,4.761904762,24.81,7.4,3,5,noite,Primavera
Naypyitaw,Recorrente,Masculino,Acessórios de Moda,48.71,1,2.4355,51.1455,19:20,Dinheiro,48.71,4.761904762,2.4355,4.1,3,26,noite,Primavera
Naypyitaw,Ocasional,Masculino,Acessórios de Moda,78.55,9,35.3475,742.2975,13:22,Dinheiro,706.95,4.761904762,35.3475,7.2,3,1,tarde,Primavera
Naypyitaw,Ocasional,Feminino,Acessórios Eletrônicos,23.07,9,10.3815,218.0115,11:27,Dinheiro,207.63,4.761904762,10.3815,4.9,2,1,manhã,Inverno
Yangon,Ocasional,Masculino,Comidas e Bebidas,58.26,6,17.478,367.038,16:44,Dinheiro,349.56,4.761904762,17.478,9.9,3,28,tarde,Primavera
Mandalay,Ocasional,Masculino,Saúde e Beleza,30.35,7,10.6225,223.0725,18:19,Dinheiro,212.45,4.761904762,10.6225,8.0,3,19,noite,Primavera
Yangon,Recorrente,Masculino,Acessórios Eletrônicos,88.67,10,44.335,931.035,14:50,Carteira Eletrônica,886.7,4.761904762,44.335,7.3,1,12,tarde,Inverno
Naypyitaw,Ocasional,Masculino,Acessórios de Moda,27.38,6,8.214,172.494,20:54,Crédito,164.28,4.761904762,8.214,7.9,1,5,noite,Inverno
Yangon,Ocasional,Masculino,Viagens e Esportes,62.13,6,18.639,391.419,20:19,Dinheiro,372.78,4.761904762,18.639,7.4,3,22,noite,Primavera
Naypyitaw,Ocasional,Feminino,Comidas e Bebidas,33.98,9,15.291,321.111,10:43,Dinheiro,305.82,4.761904762,15.291,4.2,3,24,manhã,Primavera
Naypyitaw,Recorrente,Masculino,Acessórios Eletrônicos,81.97,10,40.985,860.685,14:30,Dinheiro,819.7,4.761904762,40.985,9.2,3,3,tarde,Primavera
Mandalay,Recorrente,Feminino,Viagens e Esportes,16.49,2,1.649,34.629,11:32,Carteira Eletrônica,32.98,4.761904762,1.649,4.6,2,5,manhã,Inverno
Naypyitaw,Recorrente,Feminino,Saúde e Beleza,98.21,3,14.7315,309.3615,10:41,Crédito,294.63,4.761904762,14.7315,7.8,2,5,manhã,Inverno
Mandalay,Ocasional,Feminino,Acessórios de Moda,72.84,7,25.494,535.374,12:44,Dinheiro,509.88,4.761904762,25.494,8.4,2,15,tarde,Inverno
Yangon,Recorrente,Masculino,Casa e Estilo de Vida,58.07,9,26.1315,548.7615,20:07,Carteira Eletrônica,522.63,4.761904762,26.1315,4.3,1,19,noite,Inverno
Naypyitaw,Recorrente,Feminino,Casa e Estilo de Vida,80.79,9,36.3555,763.4655,20:31,Crédito,727.11,4.761904762,36.3555,9.5,2,1,noite,Inverno
Naypyitaw,Ocasional,Feminino,Acessórios de Moda,27.02,3,4.053,85.113,13:01,Crédito,81.06,4.761904762,4.053,7.1,3,2,tarde,Primavera
Mandalay,Recorrente,Masculino,Acessórios de Moda,21.94,5,5.485,115.185,12:29,Carteira Eletrônica,109.7,4.761904762,5.485,5.3,3,5,tarde,Primavera
Mandalay,Recorrente,Masculino,Acessórios de Moda,51.36,1,2.568,53.928,15:26,Carteira Eletrônica,51.36,4.761904762,2.568,5.2,1,16,tarde,Inverno
Yangon,Ocasional,Feminino,Comidas e Bebidas,10.96,10,5.48,115.08,20:48,Carteira Eletrônica,109.6,4.761904762,5.48,6.0,2,2,noite,Inverno
Mandalay,Ocasional,Masculino,Casa e Estilo de Vida,53.44,2,5.344,112.224,20:38,Carteira Eletrônica,106.88,4.761904762,5.344,4.1,1,20,noite,Inverno
Yangon,Ocasional,Feminino,Acessórios Eletrônicos,99.56,8,39.824,836.304,17:03,Crédito,796.48,4.761904762,39.824,5.2,2,14,tarde,Inverno
Naypyitaw,Recorrente,Masculino,Viagens e Esportes,57.12,7,19.992,419.832,12:02,Crédito,399.84,4.761904762,19.992,6.5,1,12,tarde,Inverno
Mandalay,Recorrente,Masculino,Viagens e Esportes,99.96,9,44.982,944.622,17:26,Crédito,899.64,4.761904762,44.982,4.2,3,9,tarde,Primavera
Naypyitaw,Recorrente,Masculino,Casa e Estilo de Vida,63.91,8,25.564,536.844,19:52,Crédito,511.28,4.761904762,25.564,4.6,3,13,noite,Primavera
Mandalay,Recorrente,Feminino,Acessórios de Moda,56.47,8,22.588,474.348,14:57,Carteira Eletrônica,451.76,4.761904762,22.588,7.3,3,9,tarde,Primavera
Yangon,Ocasional,Feminino,Casa e Estilo de Vida,93.69,7,32.7915,688.6215,18:44,Crédito,655.83,4.761904762,32.7915,4.5,3,10,noite,Primavera
Yangon,Ocasional,Feminino,Viagens e Esportes,32.25,5,8.0625,169.3125,13:26,Dinheiro,161.25,4.761904762,8.0625,9.0,1,27,tarde,Inverno
Naypyitaw,Ocasional,Feminino,Acessórios de Moda,31.73,9,14.2785,299.8485,16:17,Crédito,285.57,4.761904762,14.2785,5.9,1,8,tarde,Inverno
Naypyitaw,Recorrente,Feminino,Comidas e Bebidas,68.54,8,27.416,575.736,15:57,Carteira Eletrônica,548.32,4.761904762,27.416,8.5,1,8,tarde,Inverno
Mandalay,Ocasional,Feminino,Viagens e Esportes,90.28,9,40.626,853.146,11:15,Carteira Eletrônica,812.52,4.761904762,40.626,7.2,2,8,manhã,Inverno
Mandalay,Ocasional,Feminino,Acessórios de Moda,39.62,7,13.867,291.207,13:18,Dinheiro,277.34,4.761904762,13.867,7.5,1,25,tarde,Inverno
Yangon,Recorrente,Feminino,Viagens e Esportes,92.13,6,27.639,580.419,20:34,Dinheiro,552.78,4.761904762,27.639,8.3,3,6,noite,Primavera
Mandalay,Ocasional,Feminino,Viagens e Esportes,34.84,4,6.968,146.328,18:36,Dinheiro,139.36,4.761904762,6.968,7.4,2,10,noite,Inverno
Mandalay,Recorrente,Masculino,Acessórios Eletrônicos,87.45,6,26.235,550.935,14:40,Crédito,524.7,4.761904762,26.235,8.8,2,17,tarde,Inverno
Naypyitaw,Ocasional,Feminino,Saúde e Beleza,81.3,6,24.39,512.19,16:43,Carteira Eletrônica,487.8,4.761904762,24.39,5.3,3,8,tarde,Primavera
Naypyitaw,Ocasional,Masculino,Acessórios de Moda,90.22,3,13.533,284.193,19:39,Dinheiro,270.66,4.761904762,13.533,6.2,2,18,noite,Inverno
Yangon,Ocasional,Feminino,Acessórios Eletrônicos,26.31,5,6.5775,138.1275,20:59,Crédito,131.55,4.761904762,6.5775,8.8,1,18,noite,Inverno
Yangon,Recorrente,Feminino,Casa e Estilo de Vida,34.42,6,10.326,216.846,15:39,Dinheiro,206.52,4.761904762,10.326,9.8,2,18,tarde,Inverno
Mandalay,Ocasional,Masculino,Viagens e Esportes,51.91,10,25.955,545.055,12:21,Dinheiro,519.1,4.761904762,25.955,8.2,2,16,tarde,Inverno
Yangon,Ocasional,Masculino,Viagens e Esportes,72.5,8,29.0,609.0,19:25,Carteira Eletrônica,580.0,4.761904762,29.0,9.2,3,16,noite,Primavera
Naypyitaw,Recorrente,Feminino,Viagens e Esportes,89.8,10,44.9,942.9,13:00,Crédito,898.0,4.761904762,44.9,5.4,1,23,tarde,Inverno
Naypyitaw,Recorrente,Masculino,Saúde e Beleza,90.5,10,45.25,950.25,13:48,Dinheiro,905.0,4.761904762,45.25,8.1,1,25,tarde,Inverno
Naypyitaw,Recorrente,Feminino,Saúde e Beleza,68.6,10,34.3,720.3,19:57,Dinheiro,686.0,4.761904762,34.3,9.1,2,5,noite,Inverno
Naypyitaw,Recorrente,Feminino,Comidas e Bebidas,30.41,1,1.5205,31.9305,10:36,Crédito,30.41,4.761904762,1.5205,8.4,2,22,manhã,Inverno
Yangon,Ocasional,Feminino,Casa e Estilo de Vida,77.95,6,23.385,491.085,16:37,Carteira Eletrônica,467.7,4.761904762,23.385,8.0,1,21,tarde,Inverno
Naypyitaw,Ocasional,Feminino,Saúde e Beleza,46.26,6,13.878,291.438,17:11,Crédito,277.56,4.761904762,13.878,9.5,3,8,tarde,Primavera
Yangon,Recorrente,Feminino,Acessórios de Moda,30.14,10,15.07,316.47,12:28,Carteira Eletrônica,301.4,4.761904762,15.07,9.2,2,10,tarde,Inverno
Naypyitaw,Ocasional,Masculino,Saúde e Beleza,66.14,4,13.228,277.788,12:46,Crédito,264.56,4.761904762,13.228,5.6,3,19,tarde,Primavera
Mandalay,Recorrente,Masculino,Casa e Estilo de Vida,71.86,8,28.744,603.624,15:07,Crédito,574.88,4.761904762,28.744,6.2,3,6,tarde,Primavera
Yangon,Ocasional,Masculino,Saúde e Beleza,32.46,8,12.984,272.664,13:48,Crédito,259.68,4.761904762,12.984,4.9,3,27,tarde,Primavera
Mandalay,Recorrente,Feminino,Acessórios de Moda,91.54,4,18.308,384.468,19:20,Crédito,366.16,4.761904762,18.308,4.8,3,23,noite,Primavera
Naypyitaw,Recorrente,Masculino,Viagens e Esportes,34.56,7,12.096,254.016,16:07,Crédito,241.92,4.761904762,12.096,7.3,3,11,tarde,Primavera
Yangon,Ocasional,Masculino,Acessórios de Moda,83.24,9,37.458,786.618,11:56,Crédito,749.16,4.761904762,37.458,7.4,1,29,manhã,Inverno
Naypyitaw,Ocasional,Feminino,Comidas e Bebidas,16.48,6,4.944,103.824,18:23,Carteira Eletrônica,98.88,4.761904762,4.944,9.9,2,7,noite,Inverno
Naypyitaw,Ocasional,Feminino,Viagens e Esportes,80.97,8,32.388,680.148,13:05,Dinheiro,647.76,4.761904762,32.388,9.3,1,28,tarde,Inverno
Yangon,Recorrente,Masculino,Comidas e Bebidas,92.29,5,23.0725,484.5225,15:55,Crédito,461.45,4.761904762,23.0725,9.0,2,20,tarde,Inverno
Mandalay,Recorrente,Masculino,Acessórios Eletrônicos,72.17,1,3.6085,75.7785,19:40,Dinheiro,72.17,4.761904762,3.6085,6.1,1,4,noite,Inverno
Mandalay,Ocasional,Masculino,Casa e Estilo de Vida,50.28,5,12.57,263.97,13:58,Carteira Eletrônica,251.4,4.761904762,12.57,9.7,3,7,tarde,Primavera
Mandalay,Recorrente,Masculino,Saúde e Beleza,97.22,9,43.749,918.729,14:43,Carteira Eletrônica,874.98,4.761904762,43.749,6.0,3,30,tarde,Primavera
Mandalay,Ocasional,Masculino,Viagens e Esportes,93.39,6,28.017,588.357,19:18,Carteira Eletrônica,560.34,4.761904762,28.017,10.0,3,27,noite,Primavera
